Alabama,http://open.alabama.gov/,US State
Alaska,http://dggs.alaska.gov/pubs/series/dggs/digital-data-series,US State
Alaska GIS,https://gis.data.alaska.gov/,US State
Albuquerque,http://www.cabq.gov/abq-data/,US City or County
Alexandria VA,https://www.alexandriava.gov/gis/open-data,US City or County
Anchorage,https://www.muni.org/Departments/it/Pages/opendata.aspx,US City or County
Ann Arbor,https://www.a2gov.org/services/data/Pages/default.aspx,US City or County
Arizona,https://openbooks.az.gov/,US State
Arizona Goelogical Survey,https://azgs.arizona.edu/index.php,Other State Related
Arkansas,https://transparency.arkansas.gov/,US State
Arkansas Geographic Information Office,http://gis.arkansas.gov/,Other State Related
Arlington,https://data.arlingtonva.us/home,US City or County
Arvada,https://gis-arvada.opendata.arcgis.com/,US City or County
Asheville,https://data-avl.opendata.arcgis.com/,US City or County
Atlanta,http://gis.atlantaga.gov/,US City or County
Austin,http://data.austintexas.gov/,US City or County
Baltimore,http://data.baltimorecity.gov/,US City or County
Baton Rouge,https://data.brla.gov/,US City or County
Belleville,https://www.belleville.net/541/Open-Government,US City or County
"Bloomington, Indiana",https://data.bloomington.in.gov/,US City or County
Boston,https://www.boston.gov/,US City or County
Boston Enterprise GIS,https://boston.maps.arcgis.com/home/index.html,US City or County
Burlington GIS,https://www.burlington.org/305/GIS-Maps,US City or County
California,https://data.ca.gov/,US State
Champaign,https://gis-cityofchampaign.opendata.arcgis.com/,US City or County
Chapel Hill,https://www.chapelhillopendata.org/page/home1/,US City or County
"Charlotte, NC",https://data.charlottenc.gov/,US City or County
Chesapeake VA,https://public-chesva.opendata.arcgis.com/,US City or County
Chicago,http://data.cityofchicago.org/,US City or County
Colombus,https://opendata.columbus.gov/,US City or County
Colorado,https://data.colorado.gov/,US State
Connecticut,https://osc.ct.gov/openct/,US State
Cook County,https://datacatalog.cookcountyil.gov/,US City or County
Delaware,https://delaware.gov/guides/data/,US State
Denver,https://opendata-geospatialdenver.hub.arcgis.com/,US City or County
Denver Regional Council,https://drcog.org/,Other State Related
District of Columbia,https://opendata.dc.gov/,US State
Durham,https://live-durhamnc.opendata.arcgis.com/,US City or County
Fairfax County,https://www.fairfaxcounty.gov/maps/open-geospatial-data,US City or County
Florida,http://www.floridahasarighttoknow.com/,US State
Florida GIS,https://geodata.floridagio.gov/,US State
Georgia,https://open.ga.gov/,US State
Gilpin County,https://gilpin-county-gis-data-gilpincdd.hub.arcgis.com/,US City or County
Hartford,https://www.hartfordct.gov/Government/Departments/MHIS/MHIS-Divisions/Hartford-GIS/GIS-Digital-Data,US City or County
Hawaii,http://data.hawaii.gov/,US State
Hawaii GIS,https://geoportal.hawaii.gov/,Other State Related
Hidalgo County,https://www.hidalgocounty.us/2703/Open-Government,US City or County
Honolulu,https://data.honolulu.gov/,US City or County
Houston,http://data.houstontx.gov/,US City or County
Idaho,https://gis.idaho.gov/,US State
Illinois,http://data.illinois.gov/,US State
Indiana,http://www.stats.indiana.edu/,US State
Indianapolis/Marion County,http://data.indy.gov/,US City or County
Iowa,http://data.iowa.gov/,US State
Kansas,https://ag.ks.gov/open-government,US State
Kansas City,https://data.kcmo.org/,US City or County
