Alberta,https://open.alberta.ca/opendata,International Regional
Alkmaar,https://datalab.alkmaar.nl/opendata.html,International Regional
Allerdale,https://www.allerdale.gov.uk/en/data-protection-and-freedom-information/open-data/,International Regional
Amsterdam O+S,https://data.amsterdam.nl/,International Regional
Angers,http://data.angers.fr/,International Regional
Antwerp,https://dams.antwerpen.be/content/open-data,International Regional
Aquitaine and Gironde,https://www.data.gouv.fr/en/organizations/gironde-numerique/,International Regional
Aragon,http://opendata.aragon.es/,International Regional
Argentina,https://datos.gob.ar,International Country
Asturias,https://transparencia.asturias.es/,International Regional
Australia,http://data.gov.au/,International Country
Australian Capital Territory,https://www.data.act.gov.au/,International Regional
Austria,http://data.gv.at/,International Country
Badalona,https://datos.gob.es/es/iniciativas/open-data-badalona,International Regional
Bah’a Blanca,https://datos.bahia.gob.ar/dataset,International Regional
Bahrain,https://www.bahrain.bh/wps/portal/BNP/HomeNationalPortal/!ut/p/z1/04_Sj9CPykssy0xPLMnMz0vMAfIjo8ziDT1NDTwsnA0MLEND3QzMLNzdTEzMLILMTc31wwkpiAJKG-AAjgb6XoQUAF1gVOTr7JuuH1WQWJKhm5mXlq8fkZJYkgi0OwqsG267YUiogUFgmKdjkL-bi6GBiSFUAR7jC3IjqnzSgj0BhFrkyg!!/dz/d5/L3dDZyEvUUZRSS9ZTlEh/,International Country
Balearic Islands,https://datos.gob.es/en/catalogo/a04003003-guies-turistics-illes-balears,International Regional
Barcelona,https://opendata-ajuntament.barcelona.cat/en/,International Regional
Bari,https://dati.comune.bari.it/,International Regional
Belgium,http://data.gov.be/,International Country
Berlin,http://daten.berlin.de/,International Regional
Birmingham,http://www.birmingham.gov.uk/open-data,International Regional
Bologna,https://opendata.comune.bologna.it/pages/home/,International Regional
Brazil,http://dados.gov.br/,International Country
Bremen,http://www.daten.bremen.de/,International Regional
Brisbane,https://www.data.brisbane.qld.gov.au/,International Regional
British Columbia,https://catalogue.data.gov.bc.ca/,International Regional
British Columbia Local Government,http://www.civicinfo.bc.ca/,International Regional
"Buenos Aires, Argentina",http://data.buenosaires.gob.ar/,International Regional
Burlington,https://navburl-burlington.opendata.arcgis.com/pages/data,International Regional
Canada,http://open.canada.ca/en,International Country
Castilla-La Mancha,https://datosabiertos.castillalamancha.es/,International Regional
